"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Mar 25 16:02:20 GMT 2024","Mon Mar 25 16:02:20 GMT 2024","178","tests","test_issue_name","","","","test_git_issue_with_decorator",""
"broken","Mon Mar 25 16:02:21 GMT 2024","Mon Mar 25 16:02:21 GMT 2024","1","tests","test_labels","","","","test_no_labels",""
"broken","Mon Mar 25 16:02:21 GMT 2024","Mon Mar 25 16:02:21 GMT 2024","1","tests","test_labels","","","","test_decorator_labels",""
"broken","Mon Mar 25 16:02:19 GMT 2024","Mon Mar 25 16:02:19 GMT 2024","1","tests","test_attachments","","","","test_attachments",""
"broken","Mon Mar 25 16:02:19 GMT 2024","Mon Mar 25 16:02:19 GMT 2024","172","tests","test_issue_name","","","","test_git_issue_clear_selene",""
"broken","Mon Mar 25 16:02:20 GMT 2024","Mon Mar 25 16:02:20 GMT 2024","173","tests","test_issue_name","","","","test_decorator_steps",""
"broken","Mon Mar 25 16:02:21 GMT 2024","Mon Mar 25 16:02:21 GMT 2024","0","tests","test_labels","","","","test_dynamic_labels",""
